paper,Year,Game,Productivity,Media Consumption,Utilitarian,Other,Social,"Health, Nutrition, and Medical",Photography
The Rise and Fall of COVID-19 Contact-Tracing Apps: when NFRs Collide with Pandemic,2021,0,0,0,0,0,0,1,0
The Role of User Reviews in App Updates: A Preliminary Investigation on App Release Notes,2021,0,0,1,0,0,0,0,0
Too Many User-Reviews! What Should App Developers Look at First?,2021,0,1,1,1,0,1,1,1
User Review-Based Change File Localization for Mobile Applications,2021,0,1,1,0,1,1,0,0
Where2Change: Change Request Localization for App Reviews,2021,1,1,1,1,0,1,0,0
An empirical study on release notes patterns of popular apps in the Google Play Store,2022,1,1,1,1,1,1,1,1
Better Identifying and Addressing Diverse Issues in mHealth and Emerging Apps Using User Reviews,2022,0,0,0,0,0,0,1,0
Demystifying “removed reviews” in iOS app store,2022,1,1,1,1,1,1,1,1
Domain-Specific Analysis of Mobile App Reviews Using Keyword-Assisted Topic Models,2022,0,0,0,1,0,0,1,0
Emerging App Issue Identification via Online Joint Sentiment-Topic Tracing,2022,0,1,1,1,0,1,0,0
Hark: A Deep Learning System for Navigating Privacy Feedback at Scale,2022,1,1,1,1,1,1,1,1
Lighting up supervised learning in user review-based code localization: dataset and benchmark,2022,0,1,1,1,0,1,0,0
On the Importance of Performing App Analysis Within Peer Groups,2022,0,1,1,1,1,1,0,0
"Prioritizing user concerns in app reviews—A study of requests for new features, enhancements and bug fixes",2022,1,1,1,1,0,0,0,0
Proactive Prioritization of App Issues via Contrastive Learning,2022,1,1,1,1,1,1,1,1
Supporting Developers in Addressing Human-centric Issues in Mobile Apps,2022,1,1,1,1,0,1,0,0
The Use of Pretrained Model for Matching App Reviews and Bug Reports,2022,0,1,1,0,0,1,0,0
Towards Automatically Localizing Function Errors in Mobile Apps with User Reviews,2022,1,1,1,1,1,1,0,0
Unsupervised Summarization of Privacy Concerns in Mobile Application Reviews,2022,0,0,0,1,0,0,1,0
User Perspectives and Ethical Experiences of Apps for Depression: A Qualitative Analysis of User Reviews,2022,0,0,0,0,0,0,1,0
Where is Your App Frustrating Users?,2022,0,0,0,1,0,1,0,0
